dblp_index,acm_index
003d2eff2491175f713f58338439ce4e,003d2eff2491175f713f58338439ce4e
010cab5e73800e472dc3bf5e625a5907,010cab5e73800e472dc3bf5e625a5907
0113f610cb73247ddb06934e26a0ed7d,0113f610cb73247ddb06934e26a0ed7d
0132156585743c94598e3c02f7eed741,0132156585743c94598e3c02f7eed741
01790ca31e61f6de91bea542f2db2985,01790ca31e61f6de91bea542f2db2985
017a452d7807dc76c58fabffa165368b,017a452d7807dc76c58fabffa165368b
01956773ddad04a581d0e22925e7031f,01956773ddad04a581d0e22925e7031f
0217f4ddb6cf3bb2164d885e8461d8f9,0217f4ddb6cf3bb2164d885e8461d8f9
023b2903aeeb0c8ccbe739eea761a7ab,023b2903aeeb0c8ccbe739eea761a7ab
0251a9a36408c13247f7a7894b2fd7ec,0251a9a36408c13247f7a7894b2fd7ec
0300ac75bbbae0217e2d03fe5f274ae4,0300ac75bbbae0217e2d03fe5f274ae4
034c8c4be2d32441dc0297488df78f8f,034c8c4be2d32441dc0297488df78f8f
03b9d74012da2d8fdabc7da54cf6d654,03b9d74012da2d8fdabc7da54cf6d654
03cca65a988c52f504aad14b89e64083,03cca65a988c52f504aad14b89e64083
047c3fa99cc070f7fd2c0576515f56e5,047c3fa99cc070f7fd2c0576515f56e5
048f9011836aa2cf9e4c500bc8e08838,048f9011836aa2cf9e4c500bc8e08838
04fb2310175f1bb28a11b9cb2b124639,04fb2310175f1bb28a11b9cb2b124639
0503f40ef6214e6c6ed7c28db2f38e3b,0503f40ef6214e6c6ed7c28db2f38e3b
052740a11d4851149b45ec0c5751817f,052740a11d4851149b45ec0c5751817f
058f159c26bcbfa05dc2183165cad69b,058f159c26bcbfa05dc2183165cad69b
05a982bf6cdc92a18d01b76f893e40f1,05a982bf6cdc92a18d01b76f893e40f1
05a9c31f990448d22c47d730ac69e8ab,05a9c31f990448d22c47d730ac69e8ab
05bbf0fdffc995a05b4de60b1162afb3,05bbf0fdffc995a05b4de60b1162afb3
064fa99a844bb93c9b778f38c6296335,064fa99a844bb93c9b778f38c6296335
066d0356625b6447973cc962862e1099,066d0356625b6447973cc962862e1099
067208e9c449aa13b3efbec169b373b6,067208e9c449aa13b3efbec169b373b6
067b95491b563b84cf4a73295b02a096,067b95491b563b84cf4a73295b02a096
06a160f969b17a48067368cf8d9de3dd,06a160f969b17a48067368cf8d9de3dd
06c5faa14f7883f9765f4d56f27b280f,06c5faa14f7883f9765f4d56f27b280f
06c78b20a343537c773148b46f09458f,06c78b20a343537c773148b46f09458f
06c967711191e4891f7054d7981de6b2,06c967711191e4891f7054d7981de6b2
06f68f6ec01a7387136954f5f9bb0edb,06f68f6ec01a7387136954f5f9bb0edb
07069cfba190c3ba7f73ee4d919fd79c,07069cfba190c3ba7f73ee4d919fd79c
070ed50c9ee6e75bc247b613d56cc324,070ed50c9ee6e75bc247b613d56cc324
070f49200050b775bc2ddfb0e28c9b94,070f49200050b775bc2ddfb0e28c9b94
0723412aba515d5c00156c2b1f587451,0723412aba515d5c00156c2b1f587451
074510acb0e048e2ba8bd04d8db8d1ef,074510acb0e048e2ba8bd04d8db8d1ef
074e4aef251d868972edbbfc8c2db611,074e4aef251d868972edbbfc8c2db611
07af8b5f69044448c29f25cc41a2a252,07af8b5f69044448c29f25cc41a2a252
07c67c31f91b0d92df721fb2fa619821,07c67c31f91b0d92df721fb2fa619821
07e5b04ec28058b10ce5b0ca5304d734,07e5b04ec28058b10ce5b0ca5304d734
093e84fc6fdeafae17d838f1ab3e9e96,093e84fc6fdeafae17d838f1ab3e9e96
0947d789754e46af92f46aa328c5010d,0947d789754e46af92f46aa328c5010d
0974e91cf5f2d3f4ffed3e7e95d18ae3,0974e91cf5f2d3f4ffed3e7e95d18ae3
0975663d1dd1d1c30cc6c72984f62afe,0975663d1dd1d1c30cc6c72984f62afe
09a03920645291b76eba3ffd4692a953,09a03920645291b76eba3ffd4692a953
09b887c03dce92bb19eedd441d500b3b,09b887c03dce92bb19eedd441d500b3b
09d3949b56c3db8035295ee704d0b2fe,09d3949b56c3db8035295ee704d0b2fe
0aa93cfdde8ff20dc8ac64dddc29cf1d,0aa93cfdde8ff20dc8ac64dddc29cf1d
0ad4b76a96e48836e4ea71fbf4095e43,0ad4b76a96e48836e4ea71fbf4095e43
0b71bd0e86c320db0ea460812224ce4a,0b71bd0e86c320db0ea460812224ce4a
0b7e902e461921a3d71af7b67cf43be5,0b7e902e461921a3d71af7b67cf43be5
0b8e9be5d12568e1664370a96a0bd81e,0b8e9be5d12568e1664370a96a0bd81e
0b9635ed4f677c786f18cb532f3bc5e0,0b9635ed4f677c786f18cb532f3bc5e0
0ba0332491e9c00d12fb506fa26b44eb,0ba0332491e9c00d12fb506fa26b44eb
0c93e4835ccefebae5255edfd4deeafc,0c93e4835ccefebae5255edfd4deeafc
0c9fcfd87e5448a0df6366532dd0fbf4,0c9fcfd87e5448a0df6366532dd0fbf4
0cbdb5407843e4588bdd5afa73d7cf17,0cbdb5407843e4588bdd5afa73d7cf17
0e3855408bf6da185232128dd3df46eb,0e3855408bf6da185232128dd3df46eb
0eab0bb0cfdcf49203c0ed33e1b1243a,0eab0bb0cfdcf49203c0ed33e1b1243a
0eb7b5182f37414e999eac59be772290,0eb7b5182f37414e999eac59be772290
0ef1d071d4be9cdf9de84d911719b175,0ef1d071d4be9cdf9de84d911719b175
0f4c0b56fff2c95279d6e17c2253e501,0f4c0b56fff2c95279d6e17c2253e501
0f65657431620cc24fddd4c79bc85462,0f65657431620cc24fddd4c79bc85462
0f85c9085671662785b1187a88fd9bef,0f85c9085671662785b1187a88fd9bef
108a02a3024db2919ac327de55ef5072,108a02a3024db2919ac327de55ef5072
10b1470fd2c80eaeb65a842066bca05d,10b1470fd2c80eaeb65a842066bca05d
10b1df87726fc8c2dd3fd3f0a18b4e37,10b1df87726fc8c2dd3fd3f0a18b4e37
1114829085f1977f7f7176ea68f0eab1,1114829085f1977f7f7176ea68f0eab1
11538eff8c710fa90626ec7594bbac81,11538eff8c710fa90626ec7594bbac81
116725db6e364c4ada8e423ddd22e0e9,116725db6e364c4ada8e423ddd22e0e9
11979e8db6c5dcc2fa0bcf5d1c56ff7e,11979e8db6c5dcc2fa0bcf5d1c56ff7e
120a02c433790768d6d3d1ada914ead2,120a02c433790768d6d3d1ada914ead2
1212fcc8272e86339dbb8e4e4b3a9618,1212fcc8272e86339dbb8e4e4b3a9618
12471e8b91a8fda0a285012b30b89c16,12471e8b91a8fda0a285012b30b89c16
1263d62b269be635078a6459963f6d85,1263d62b269be635078a6459963f6d85
12655fc576c30da4034727c1a23c50a0,12655fc576c30da4034727c1a23c50a0
12ab7ce9c8385214b4454644618c6f4c,12ab7ce9c8385214b4454644618c6f4c
12f8b4f83c8d09ad2e9a8f8159cb106f,12f8b4f83c8d09ad2e9a8f8159cb106f
132745ebc6c38e96a86744b24b543b93,132745ebc6c38e96a86744b24b543b93
132a14ad67983df3a300d8b6e0cee6e5,132a14ad67983df3a300d8b6e0cee6e5
138ebb0ce2b51b6e1676d9d6ec0d4d73,138ebb0ce2b51b6e1676d9d6ec0d4d73
13a4eeab4f0c541321672e759ee19f4c,13a4eeab4f0c541321672e759ee19f4c
13dd7c66427c5f5f7ac23dfbd6ae649d,13dd7c66427c5f5f7ac23dfbd6ae649d
13e64c27849f85bc2ca5542a50c87404,13e64c27849f85bc2ca5542a50c87404
1428053234af1a3d96e3a5ad5fe92475,1428053234af1a3d96e3a5ad5fe92475
14484fbd5c5809f03036b4cae0a9a705,14484fbd5c5809f03036b4cae0a9a705
144ad12f90989ab2f3d27a80606e1dba,144ad12f90989ab2f3d27a80606e1dba
144e00aafb116a94d52f141078790ed2,144e00aafb116a94d52f141078790ed2
14555ef4cb63c75d24e3a11573615546,14555ef4cb63c75d24e3a11573615546
14fefc10dfaec0d1ba2e85b95ebe1b65,14fefc10dfaec0d1ba2e85b95ebe1b65
151712cc46f12c7a2f735f52e568fb77,151712cc46f12c7a2f735f52e568fb77
